ランク,タイトル,URL
85,魔法が使いたくて魔力を鍛えた、肉が食いたくて狩りをした、そしたら最強になっていたので……,https://kakuyomu.jp/works/16818093093962222768
86,平凡公務員の異世界転移～ガチャにすべてをかける運頼みライフ～,https://kakuyomu.jp/works/16818093091893147484
87,幻獣を従える者,https://kakuyomu.jp/works/16818093090614236361
88,能ある龍は爪を隠す〜無能と罵られた男爵家長男、実は世界最強の一角につき〜,https://kakuyomu.jp/works/16818093088094556589
89,転生魔術師のゼロから学ぶ現代魔法,https://kakuyomu.jp/works/16818093094751668110
90,ハクスラゲーム転生,https://kakuyomu.jp/works/16818023214162998392
91,ニコルと薬師家族は自由に生きる,https://kakuyomu.jp/works/16818093090590151657
92,Subjects Runes ～高速詠唱と現代知識で戦乱の貴族社会をのし上がる～,https://kakuyomu.jp/works/16818093092876692662
93,貞操逆転世界になってるんだけど！？,https://kakuyomu.jp/works/16818622171378807039
94,【書籍化決定】俺の魔力が理不尽に多いのはもう分かった！　あとは可憐な嫁をもらうだけなんだが…,https://kakuyomu.jp/works/16818093091961921077
95,俺の職業が日本人だった件。スキルボードが日本語なので俺以外誰も理解できません。壊れ職だと家を追い出されました。,https://kakuyomu.jp/works/16818093089686801017
96,普通のおっさんが女神様にスキルを貰ってスローライフ！？〜異世界と現代を往復してバレずにいい暮らしをするお話〜,https://kakuyomu.jp/works/16818093080286722080
97,異世界帰りのおっさんは元厨二病　～オリジナル厨二魔法で姪っ子を助けたら配信がバズりました。羞恥心が過酷すぎますが、家族のために無双します～,https://kakuyomu.jp/works/16818093093849148595
98,モブの俺が悪役令嬢を拾ったんだが〜ゲーム本編とか知らないし、好き勝手やります〜,https://kakuyomu.jp/works/16818093081469820220
99,ぼっち・ダンジョン,https://kakuyomu.jp/works/16818093092901915218
100,アラサーからのダンジョン探索～英雄は目指さない。マイペースに遊びながら稼ぎます～,https://kakuyomu.jp/works/16818093091603449614
101,二度目の人生は「ぐーたらライフ」で。　～働きたくないので、今のうちに魔法で開拓しておきます～,https://kakuyomu.jp/works/16816700426068945190
102,死神に憧れ冒険者になりました。組んだパーティーが悉く全滅していくせいで、冤罪なのに半ば犯罪者扱いされています。凶悪事件の黒幕とも。,https://kakuyomu.jp/works/16818622170313325082
103,私の心はおじさんである,https://kakuyomu.jp/works/16816927859486361460
104,ディープダンジョン～クラス転移でゲーム的な世界に来たが、しょっぱい能力を与えられたぼっちの俺はのんびり周回遅れで攻略を進めようと思います～,https://kakuyomu.jp/works/16818093094748589577
105,俺がSランク美少女界隈で密かに人気が出ていることなど知る由もない,https://kakuyomu.jp/works/16818622172036588601
